Team,Elo,Conference,RatingUpdated
Davidson Wildcats,1077.6877046560653,A10,False
Dayton Flyers,967.3055300035728,A10,False
Duquesne Dukes,1018.596965533212,A10,False
Fordham Rams,1028.8909442507686,A10,True
George Mason Patriots,1050.4713570978795,A10,False
George Washington Revolutionaries,1019.3929073225994,A10,True
La Salle Explorers,1020.012647502961,A10,False
Loyola Chicago Ramblers,939.781096066408,A10,False
Rhode Island Rams,1071.412713131844,A10,False
Richmond Spiders,1103.0828954763072,A10,False
Saint Louis Billikens,966.6722454819452,A10,False
St. Bonaventure Bonnies,1032.9613907631222,A10,True
Saint Joseph's Hawks,1038.979798010695,A10,False
VCU Rams,953.6978360158222,A10,False
Boston College Eagles,966.6016160829108,ACC,False
California Golden Bears,1064.9526649682955,ACC,False
Clemson Tigers,1037.9339484565028,ACC,False
Duke Blue Devils,991.2800252452045,ACC,False
Florida State Seminoles,990.1708422788336,ACC,False
Georgia Tech Yellow Jackets,988.2893885386272,ACC,False
Louisville Cardinals,1118.4582090133858,ACC,False
Miami Hurricanes,1068.6194549073698,ACC,False
NC State Wolfpack,1074.5965728164574,ACC,False
North Carolina Tar Heels,1136.3950182023586,ACC,False
Notre Dame Fighting Irish,1063.2721814132576,ACC,False
Pittsburgh Panthers,1006.5990890161772,ACC,False
SMU Mustangs,1031.82634288678,ACC,False
Stanford Cardinal,1097.8187101015958,ACC,False
Syracuse Orange,1107.5490868062025,ACC,False
Virginia Cavaliers,1091.7076611065113,ACC,False
Virginia Tech Hokies,1095.3010202045496,ACC,False
Wake Forest Demon Deacons,1098.1351909138898,ACC,False
Binghamton Bearcats,984.9731068621587,America East,True
Bryant Bulldogs,1051.5176131682992,America East,False
Maine Black Bears,965.5028984772968,America East,False
New Hampshire Wildcats,928.4908003419748,America East,False
NJIT Highlanders,1016.2407085943796,America East,False
UAlbany Great Danes,1060.7715997282469,America East,False
UMass Lowell River Hawks,955.9541931823908,America East,True
UMBC Retrievers,969.627760778984,America East,True
Vermont Catamounts,1043.1340911030327,America East,False
Charlotte 49ers,970.700751256698,American,False
East Carolina Pirates,999.2811720750244,American,False
Florida Atlantic Owls,988.8378754062168,American,False
Memphis Tigers,984.5593978790438,American,False
North Texas Mean Green,1017.0892286266893,American,True
Rice Owls,1084.0706009745002,American,True
South Florida Bulls,1044.3596109290918,American,False
Temple Owls,1001.6850672251464,American,False
Tulane Green Wave,970.854818180804,American,False
Tulsa Golden Hurricane,1057.7161363546347,American,False
UAB Blazers,1017.9373555097526,American,False
UTSA Roadrunners,978.1217696569776,American,False
Wichita State Shockers,885.7926387248361,American,False
Austin Peay Governors,1009.595986168312,ASUN,True
Bellarmine Knights,859.8030592483924,ASUN,False
Central Arkansas Sugar Bears,1032.9543785433,ASUN,True
Eastern Kentucky Colonels,1060.6628225215504,ASUN,False
Florida Gulf Coast Eagles,957.8206623558,ASUN,False
Jacksonville Dolphins,1046.0611809865245,ASUN,True
Lipscomb Bisons,909.435412279558,ASUN,False
North Alabama Lions,962.1246102481992,ASUN,False
North Florida Ospreys,940.8804535359401,ASUN,True
Queens University Royals,940.2585453696468,ASUN,False
Stetson Hatters,1024.420917659682,ASUN,False
West Georgia Wolves,1017.6736224600196,ASUN,False
